,Track_ID,TrackName,OSDS_count,Fin_Rank
9,91, Holualoa,181,1.0
16,116, Kailua,125,1.0
24,89, Kawaihae-Waikoloa,1119,2.0
26,92, Kaumalumalu-Keahou,120,2.0
30,145, Hilo,418,2.0
31,140, Hilo,352,2.0
33,118, Waimea-Pu‘u Anahulu,870,2.0
35,141, Hilo,109,2.0
36,142, Hilo,30,2.0
40,75, Kalapana-Kapoho,420,2.0
45,143, Hilo,87,3.0
48,90, Kalaoa,1322,3.0
49,121, Hualalai,594,3.0
50,117, South Kona,427,3.0
52,94, Konawaena,224,3.0
54,125, Hilo,208,3.0
55,74, Kealakehe,143,3.0
61,123, Hilo,264,3.0
62,122, North Kohala,528,3.0
66,97, Hawaiian Paradise Park,918,3.0
67,124, Hilo,310,3.0
68,115, Hilo,45,3.0
71,113, North Hilo,70,3.0
74,95, Pahoa,890,3.0
75,119, Pauka‘a-Wailea,128,3.0
76,144, Hilo,367,3.0
81,93, Honoka‘a-Kukuihaele,63,3.0
82,112, Ka‘u,753,3.0
83,110, Kea‘au,295,3.0
84,96, Orchidland-Ainaloa,890,3.0
85,120, Pa‘auhau-Pa‘auilo,85,3.0
86,114, Volcano-Mt. View,554,3.0
87,111, Upper Puna (Puna Mauka),563,3.0
